package_legacy_id,slug,name,status,seller_legacy_id,seller_name,seller_email,seller_phone,category_primary,min_price_rwf,max_price_rwf,price_points_rwf,cover_image
19,3-days-primate-safari-in-volcanoes-national-park,3 Days Primate Safari in Volcanoes National Park,active,45,Cheli & Peacock Safaris,info@chelipeacock.com,+250788317757,Active & Adventure,22380000,22380000,22380000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754942398/ETIKE/general/Copy_of_951A0413_eovmpl.jpg
20,3-days-nature-excursion-at-nyungwe-national-park,3 Days Nature Excursion at Nyungwe National Park,active,45,Cheli & Peacock Safaris,info@chelipeacock.com,+250788317757,Active & Adventure,10085000,10085000,10085000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754943944/ETIKE/general/Nyungwe_2_kxfaj0.jpg
21,3-days-wilderness-safaris-at-akagera-national-park,3 Days Wilderness Safaris at Akagera National Park,active,45,Cheli & Peacock Safaris,info@chelipeacock.com,+250788317757,Active & Adventure,6800000,6800000,6800000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754947344/ETIKE/general/Copy_of_5P7A0633_e6icct.jpg
22,kigali-city-tour,Kigali City Tour,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Active & Adventure,195000,625000,195000;390000;625000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754982347/ETIKE/general/arton1622_1_ziu9cw.jpg
23,3-day-nyungwe-forest-escape-luxury-amidst-the-wilderness,3-Day Nyungwe Forest Escape: Luxury Amidst the Wilderness,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Eco-Tourism,9360000,9360000,9360000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754984930/ETIKE/general/Nyungwe_2_1_cdgr7e.jpg
24,escaped-to-adventure-1-day-akagera-national-park-safari,Escaped to Adventure: 1-Day Akagera National Park Safari,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Active & Adventure,430000,520000,430000;455000;520000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754987449/ETIKE/general/Copy_of_951A0259_i7xrtg.jpg
25,1-day-rwanda-gorilla-trekking-expedition,1-Day Rwanda Gorilla Trekking Expedition,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,2145000,2275000,2145000;2210000;2275000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754988615/ETIKE/general/Copy_of_951A0290_zbnkq8.jpg
26,2-day-nights-akagera-explore-the-wild-in-luxury,2-Day Nights Akagera: Explore the Wild in Luxury,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,1380000,2110000,1380000;1545000;2110000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754989997/ETIKE/general/Copy_of_951A0290_vllwwl.jpg
27,2-day-rwanda-chimpanzee-trekking-and-canopy-walk-tour,2-Day Rwanda Chimpanzee Trekking and Canopy Walk Tour,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,4735000,5065000,4735000;4885000;5065000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754990547/ETIKE/general/Copy_of_5P7A0638_vqqm1q.jpg
28,2-day-rwanda-gorilla-trekking-expedition,2-Day Rwanda Gorilla Trekking Expedition,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,3110000,3505000,3110000;3240000;3505000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754990871/ETIKE/general/Copy_of_951A0271_dqknjz.jpg
29,immersive-adventure-3-day-akagera-national-park-safari,Immersive Adventure: 3-Day Akagera National Park Safari,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,2470000,2470000,2470000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754992197/ETIKE/general/Copy_of_834A9876_wa3vux.jpg
30,3-day-rwanda-chimpanzee-trekking-and-canopy-walk-tour,3-Day Rwanda Chimpanzee Trekking and Canopy Walk Tour,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,8590000,9095000,8590000;8740000;9095000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754992793/ETIKE/general/Copy_of_834A9876_sxkfmq.jpg
31,3-day-rwanda-gorilla-golden-monkey-trekking-expedition,3-Day Rwanda Gorilla & Golden Monkey Trekking Expedition,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Eco-Tourism,5810000,6325000,5810000;6045000;6325000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754994139/ETIKE/general/Copy_of_DSC_5009_4_gxonaa.jpg
32,kigali-city-tour-one-day-exploration,Kigali City Tour: One-Day Exploration,active,35,Vazquez Tours & Travel Ltd,info@vazqueztours.com,+250781445000,Active & Adventure,260000,340000,260000;300000;340000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754994811/ETIKE/general/Copy_of_197A5910_1_yp2y2l.jpg
